[20190113_181145]     LOG | Entity Parametric Constructor
[20190113_181145]     LOG | Entity Parametric Constructor
[20190113_181145]     LOG | Entity Parametric Constructor
[20190113_181145]     LOG | Entity Destructor
[20190113_181145]     LOG | Entity Destructor
[20190113_181146]     LOG | Entity Destructor
[20190113_181146]     LOG | Entity Destructor
[20190113_181148]     LOG | Entity Destructor
[20190113_181148]     LOG | Entity Destructor
[20190113_181150]     LOG | Entity Destructor
[20190113_181150]     LOG | Entity Destructor
[20190113_181150]     LOG | Entity Parametric Constructor
[20190113_181150]     LOG | Entity Parametric Constructor
[20190113_181150]     LOG | Entity Parametric Constructor
[20190113_181151]     LOG | Entity Destructor
[20190113_181151]     LOG | Entity Destructor
[20190113_181152]     LOG | Entity Destructor
[20190113_181153]     LOG | Entity Destructor
[20190113_181153]     LOG | Entity Destructor
[20190113_181153]     LOG | Entity Destructor
[20190113_181153]     LOG | Entity Destructor
[20190113_181154]     LOG | Entity Destructor
[20190113_181154]     LOG | Entity Destructor
[20190113_181154]     LOG | Entity Destructor
[20190113_181155]     LOG | Entity Parametric Constructor
[20190113_181155]     LOG | Entity Parametric Constructor
[20190113_181155]     LOG | Entity Destructor
[20190113_181155]     LOG | Entity Destructor
[20190113_181155]     LOG | Entity Destructor
[20190113_181156]     LOG | Entity Destructor
[20190113_181156]     LOG | Entity Destructor
[20190113_181158]     LOG | Entity Destructor
[20190113_181158]     LOG | Entity Destructor
[20190113_181159]     LOG | Entity Destructor
[20190113_181159]     LOG | Entity Destructor
[20190113_181201]     LOG | Entity Destructor
[20190113_181201]     LOG | Entity Destructor
[20190113_181202]     LOG | Entity Destructor
[20190113_181202]     LOG | Entity Destructor
[20190113_181204]     LOG | Entity Destructor
[20190113_181204]     LOG | Entity Destructor
[20190113_181206]     LOG | Entity Destructor
[20190113_181206]     LOG | Entity Destructor
[20190113_181207]     LOG | Entity Destructor
[20190113_181207]     LOG | Entity Destructor
[20190113_181209]     LOG | Entity Destructor
[20190113_181209]     LOG | Entity Destructor
[20190113_181210]     LOG | Entity Destructor
[20190113_181210]     LOG | Entity Destructor
[20190113_181300]     LOG | Default Time Constructor
[20190113_181300]   ERROR | 72
[20190113_181300]   ERROR | 278
[20190113_181300] WARNING | EntitiesList Constructor
[20190113_181300]     LOG | Default Entity Constructor
[20190113_181300]     LOG | Entity Parametric Constructor
[20190113_181300] WARNING | number =                  
[20190113_181300]     LOG | Entity Parametric Constructor
[20190113_181300]     LOG | Entity Parametric Constructor
[20190113_181300]     LOG | Entity Parametric Constructor
[20190113_181305]     LOG | Entity Parametric Constructor
[20190113_181305]     LOG | Entity Parametric Constructor
[20190113_181305]     LOG | Entity Parametric Constructor
[20190113_181308]     LOG | Entity Destructor
[20190113_181309]     LOG | Entity Destructor
[20190113_181309]     LOG | Entity Destructor
[20190113_181310]     LOG | Entity Destructor
[20190113_181310]     LOG | Entity Parametric Constructor
[20190113_181310]     LOG | Entity Parametric Constructor
[20190113_181310]     LOG | Entity Destructor
[20190113_181310]     LOG | Entity Destructor
[20190113_181310]     LOG | Entity Destructor
[20190113_181319]     LOG | Default Time Constructor
[20190113_181319]   ERROR | 72
[20190113_181319]   ERROR | 278
[20190113_181319] WARNING | EntitiesList Constructor
[20190113_181319]     LOG | Default Entity Constructor
[20190113_181319]     LOG | Entity Parametric Constructor
[20190113_181319] WARNING | number =                  
[20190113_181319]     LOG | Entity Parametric Constructor
[20190113_181319]     LOG | Entity Parametric Constructor
